시도,시군구,읍면,도로명
대구광역시,달서구,,대명천로16길
대구광역시,달서구,,당산동1길
대구광역시,달서구,,장기로7길
대구광역시,달서구,,대명천로21길
대구광역시,달서구,,두류공원로28길
대구광역시,달서구,,중흥로5안길
대구광역시,달서구,,학산로42길
대구광역시,달서구,,중흥로10길
대구광역시,달서구,,송현로8길
대구광역시,달서구,,앞산순환로55길
대구광역시,달서구,,중흥로5길
대구광역시,달서구,,월배로75길
대구광역시,달서구,,월배로68안길
대구광역시,달서구,,송현동1길
대구광역시,달서구,,앞산순환로49안길
대구광역시,달서구,,앞산순환로61길
대구광역시,달서구,,송현동2길
대구광역시,달서구,,송현동3길
대구광역시,달서구,,중흥로6길
대구광역시,달서구,,월배로74동길
대구광역시,달서구,,송현로2길
대구광역시,달서구,,중흥로4길
대구광역시,달서구,,월배로74길
대구광역시,달서구,,월배로80길
대구광역시,달서구,,중흥로
대구광역시,달서구,,월배로85길
대구광역시,달서구,,월배로83길
대구광역시,달서구,,월배로74서길
대구광역시,달서구,,월배로72길
대구광역시,달서구,,학산로46길
대구광역시,달서구,,학산로50길
대구광역시,달서구,,월배로93길
대구광역시,달서구,,월배로64길
대구광역시,달서구,,학산로36길
대구광역시,달서구,,앞산순환로45길
대구광역시,달서구,,월배로88길
대구광역시,달서구,,학산로50안길
대구광역시,달서구,,송현로12안길
대구광역시,달서구,,송현로16길
대구광역시,달서구,,중흥로8길
대구광역시,달서구,,중흥로3길
대구광역시,달서구,,송현동4길
대구광역시,달서구,,앞산순환로51길
대구광역시,달서구,,중흥로9길
대구광역시,달서구,,월배로65안길
대구광역시,달서구,,월배로73길
대구광역시,달서구,,월배로84안길
대구광역시,달서구,,월배로97길
대구광역시,달서구,,중흥로2길
대구광역시,달서구,,구마로52길
대구광역시,달서구,,월배로65길
대구광역시,달서구,,월배로84길
대구광역시,달서구,,월배로69길
대구광역시,달서구,,중흥로12길
대구광역시,달서구,,앞산순환로39안길
대구광역시,달서구,,월배로68길
